"word","sentiment","translatedContent"
"acuity","positivo","agudeza"
"acumen","positivo","perspicacia"
"adapt","positivo","adaptar"
"adaptable","positivo","adaptable"
"adder","enfado","sumador"
"adder","desagrado","sumador"
"adder","miedo","sumador"
"adder","negativo","sumador"
"adder","tristeza","sumador"
"addiction","negativo","adiccion"
"addresses","anticipacion","direcciones"
"addresses","positivo","direcciones"
"adept","positivo","adepto"
"adequacy","positivo","adecuación"
"adhering","confianza","adherente"
"adipose","negativo","adiposo"
"adjudicate","miedo","juzgar"
"adjudicate","negativo","juzgar"
"adjunct","positivo","adjunto"
"administrative","confianza","administrativo"
"admirable","alegria","admirable"
"admirable","positivo","admirable"
"admirable","confianza","admirable"
"admiral","positivo","almirante"
"admiral","confianza","almirante"
"admiration","alegria","admiración"
"admiration","positivo","admiración"
"admiration","confianza","admiración"
"admire","positivo","admirar"
"admire","confianza","admirar"
"admirer","positivo","admirador"
"admissible","positivo","admisible"
"admissible","confianza","admisible"
"admonition","miedo","amonestación"
"admonition","negativo","amonestación"
"adorable","alegria","adorable"
"adorable","positivo","adorable"
"adoration","alegria","adoración"
"adoration","positivo","adoración"
"adoration","confianza","adoración"
"adore","anticipacion","adorar"
"adore","alegria","adorar"
"adore","positivo","adorar"
"adore","confianza","adorar"
"adrift","anticipacion","a la deriva"
"adrift","miedo","a la deriva"
"adrift","negativo","a la deriva"
"adrift","tristeza","a la deriva"
"adulterated","negativo","espurio"
"adultery","desagrado","adulterio"
"adultery","negativo","adulterio"
"adultery","tristeza","adulterio"
"advance","anticipacion","avanzar"
"advance","miedo","avanzar"
"advance","alegria","avanzar"
"advance","positivo","avanzar"
"advance","sorpresa","avanzar"
"advanced","positivo","avanzado"
"advancement","positivo","avance"
"advantage","positivo","ventaja"
"advantageous","positivo","ventajoso"
"advent","anticipacion","adviento"
"advent","alegria","adviento"
"advent","positivo","adviento"
"advent","confianza","adviento"
"adventure","anticipacion","aventuras"
"adventure","positivo","aventuras"
"adventurous","positivo","aventurero"
"adversary","enfado","adversario"
"adversary","negativo","adversario"
"adverse","enfado","adverso"
"adverse","desagrado","adverso"
"adverse","miedo","adverso"
"adverse","negativo","adverso"
"adverse","tristeza","adverso"
"adversity","enfado","adversidad"
"adversity","miedo","adversidad"
"adversity","negativo","adversidad"
"adversity","tristeza","adversidad"
"advice","confianza","Consejo"
"advisable","positivo","aconsejable"
"advisable","confianza","aconsejable"
"advise","positivo","asesorar"
"advise","confianza","asesorar"
"advised","confianza","aconsejado"
"adviser","positivo","asesor"
"adviser","confianza","asesor"
"advocacy","enfado","Abogacía"
"advocacy","anticipacion","Abogacía"
"advocacy","alegria","Abogacía"
"advocacy","positivo","Abogacía"
"advocacy","confianza","Abogacía"
"advocate","confianza","abogado"
"aesthetic","positivo","estético"
"aesthetics","alegria","estética"
"aesthetics","positivo","estética"
"affable","positivo","afable"
"affection","alegria","afecto"
"affection","positivo","afecto"
"affection","confianza","afecto"
"affiliated","positivo","asociado"
"affirm","positivo","afirmar"
"affirm","confianza","afirmar"
"affirmation","positivo","afirmación"
"affirmative","positivo","afirmativo"
"affirmatively","positivo","afirmativamente"
"affirmatively","confianza","afirmativamente"
"afflict","miedo","afligir"
"afflict","negativo","afligir"
"afflict","tristeza","afligir"
"afflicted","negativo","afligido"
"affliction","desagrado","aflicción"
"affliction","miedo","aflicción"
"affliction","negativo","aflicción"
"affliction","tristeza","aflicción"
"affluence","alegria","afluencia"
"affluence","positivo","afluencia"
"affluent","positivo","afluente"
"afford","positivo","permitirse"
"affront","enfado","afrenta"
"affront","desagrado","afrenta"
"affront","miedo","afrenta"
"affront","negativo","afrenta"
"affront","tristeza","afrenta"
"affront","sorpresa","afrenta"
"afraid","miedo","temeroso"
"afraid","negativo","temeroso"
"aftermath","enfado","secuelas"
"aftermath","desagrado","secuelas"
"aftermath","miedo","secuelas"
"aftermath","negativo","secuelas"
"aftermath","tristeza","secuelas"
"aftertaste","negativo","regusto"
"aga","miedo","aga"
"aga","positivo","aga"
"aga","confianza","aga"
"aggravated","enfado","agravado"
"aggravated","negativo","agravado"
"aggravating","enfado","agravante"
"aggravating","negativo","agravante"
"aggravating","tristeza","agravante"
"aggravation","enfado","agravación"
"aggravation","desagrado","agravación"
"aggravation","negativo","agravación"
"aggression","enfado","agresión"
"aggression","miedo","agresión"
"aggression","negativo","agresión"
"aggressive","enfado","agresivo"
"aggressive","miedo","agresivo"
"aggressive","negativo","agresivo"
"aggressor","enfado","agresor"
"aggressor","miedo","agresor"
"aggressor","negativo","agresor"
"aghast","desagrado","espantado"
"aghast","miedo","espantado"
"aghast","negativo","espantado"
"aghast","sorpresa","espantado"
"agile","positivo","ágil"
"agility","positivo","agilidad"
"agitated","enfado","agitado"
"agitated","negativo","agitado"
"agitation","enfado","agitación"
"agitation","negativo","agitación"
"agonizing","miedo","agonizante"
"agonizing","negativo","agonizante"
"agony","enfado","agonía"
"agony","miedo","agonía"
"agony","negativo","agonía"
"agony","tristeza","agonía"
"agree","positivo","de acuerdo"
"agreeable","positivo","agradable"
"agreeable","confianza","agradable"
"agreed","positivo","convenido"
"agreed","confianza","convenido"
"agreeing","positivo","de acuerdo"
"agreeing","confianza","de acuerdo"
"agreement","positivo","acuerdo"
"agreement","confianza","acuerdo"
"agriculture","positivo","agricultura"
"aground","negativo","encallado"
"ahead","positivo","adelante"
"aid","positivo","ayuda"
"aiding","positivo","ayudando"
"ail","negativo","afligir"
"ail","tristeza","afligir"
"ailing","miedo","enfermo"
"ailing","negativo","enfermo"
"ailing","tristeza","enfermo"
"aimless","negativo","sin objetivo"
"airport","anticipacion","aeropuerto"
"airs","desagrado","aires"
"airs","negativo","aires"
"akin","confianza","parecido"
"alabaster","positivo","alabastro"
"alarm","miedo","alarma"
"alarm","negativo","alarma"
"alarm","sorpresa","alarma"
"alarming","miedo","alarmante"
"alarming","negativo","alarmante"
"alarming","sorpresa","alarmante"
"alb","confianza","alba"
"alcoholism","enfado","alcoholismo"
"alcoholism","desagrado","alcoholismo"
"alcoholism","miedo","alcoholismo"
"alcoholism","negativo","alcoholismo"
"alcoholism","tristeza","alcoholismo"
"alertness","anticipacion","vigilancia"
"alertness","miedo","vigilancia"
"alertness","positivo","vigilancia"
"alertness","sorpresa","vigilancia"
"alerts","anticipacion","alertas"
"alerts","miedo","alertas"
"alerts","sorpresa","alertas"
"alien","desagrado","extraterrestre"
"alien","miedo","extraterrestre"
"alien","negativo","extraterrestre"
"alienate","enfado","enajenar"
"alienate","desagrado","enajenar"
"alienate","negativo","enajenar"
"alienated","negativo","enajenado"
"alienated","tristeza","enajenado"
"alienation","enfado","alienación"
"alienation","desagrado","alienación"
"alienation","miedo","alienación"
"alienation","negativo","alienación"
"alienation","tristeza","alienación"
"alimentation","positivo","alimentación"
"alimony","negativo","pensión alimenticia"
"alive","anticipacion","viva"
"alive","alegria","viva"
"alive","positivo","viva"
"alive","confianza","viva"
"allay","positivo","aliviar"
"allegation","enfado","alegación"
"allegation","negativo","alegación"
"allege","negativo","alegar"
"allegiance","positivo","lealtad"
"allegiance","confianza","lealtad"
"allegro","positivo","alegro"
"alleviate","positivo","aliviar"
"alleviation","positivo","alivio"
"alliance","confianza","Alianza"
"allied","positivo","aliado"
"allied","confianza","aliado"
"allowable","positivo","admisible"
"allure","anticipacion","seducir"
"allure","alegria","seducir"
"allure","positivo","seducir"
"allure","sorpresa","seducir"
"alluring","positivo","seductor"
"ally","positivo","aliado"
"ally","confianza","aliado"
"almighty","positivo","todopoderoso"
"aloha","anticipacion","aloha"
"aloha","alegria","aloha"
"aloha","positivo","aloha"
"aloof","negativo","a distancia"
"altercation","enfado","altercado"
"altercation","negativo","altercado"
"amaze","sorpresa","asombro"
"amazingly","alegria","Asombrosamente"
"amazingly","positivo","Asombrosamente"
"amazingly","sorpresa","Asombrosamente"
"ambassador","positivo","embajador"
"ambassador","confianza","embajador"
"ambiguous","negativo","ambiguo"
"ambition","anticipacion","ambición"
"ambition","alegria","ambición"
"ambition","positivo","ambición"
"ambition","confianza","ambición"
"ambulance","miedo","ambulancia"
"ambulance","confianza","ambulancia"
"ambush","enfado","emboscada"
"ambush","miedo","emboscada"
"ambush","negativo","emboscada"
"ambush","sorpresa","emboscada"
"ameliorate","positivo","mejorar"
"amen","alegria","Amén"
"amen","positivo","Amén"
"amen","confianza","Amén"
"amenable","positivo","dócil"
"amend","positivo","enmendar"
"amends","positivo","compensación"
"amenity","positivo","amenidad"
"amiable","positivo","amable"
"amicable","alegria","amistoso"
"amicable","positivo","amistoso"
"ammonia","desagrado","amoníaco"
"amnesia","negativo","amnesia"
"amnesty","alegria","amnistía"
"amnesty","positivo","amnistía"
"amortization","confianza","amortización"
"amour","anticipacion","aventura amorosa"
"amour","alegria","aventura amorosa"
"amour","positivo","aventura amorosa"
"amour","confianza","aventura amorosa"
"amphetamines","desagrado","anfetaminas"
"amphetamines","negativo","anfetaminas"
"amuse","alegria","entretener"
"amuse","positivo","entretener"
"amused","alegria","divertido"
"amused","positivo","divertido"
"amusement","alegria","diversión"
"amusement","positivo","diversión"
"amusing","alegria","divertido"
"amusing","positivo","divertido"
"anaconda","desagrado","anaconda"
"anaconda","miedo","anaconda"
"anaconda","negativo","anaconda"
"anal","negativo","anal"
"analyst","anticipacion","analista"
"analyst","positivo","analista"
"analyst","confianza","analista"
"anarchism","enfado","anarquismo"
"anarchism","miedo","anarquismo"
"anarchism","negativo","anarquismo"
"anarchist","enfado","anarquista"
"anarchist","miedo","anarquista"
"anarchist","negativo","anarquista"
"anarchy","enfado","anarquía"
"anarchy","miedo","anarquía"
"anarchy","negativo","anarquía"
"anathema","enfado","anatema"
"anathema","desagrado","anatema"
"anathema","miedo","anatema"
"anathema","negativo","anatema"
"anathema","tristeza","anatema"
"ancestral","confianza","ancestral"
"anchor","positivo","ancla"
"anchorage","positivo","anclaje"
"anchorage","tristeza","anclaje"
"ancient","negativo","antiguo"
"angel","anticipacion","ángel"
"angel","alegria","ángel"
"angel","positivo","ángel"
"angel","sorpresa","ángel"
"angel","confianza","ángel"
"angelic","alegria","angelical"
"angelic","positivo","angelical"
"angelic","confianza","angelical"
"enfado","enfado","enfado"
"enfado","negativo","enfado"
"angina","miedo","angina de pecho"
"angina","negativo","angina de pecho"
"angling","anticipacion","pesca con caña"
"angling","negativo","pesca con caña"
"angry","enfado","enojado"
"angry","desagrado","enojado"
"angry","negativo","enojado"
"anguish","enfado","angustia"
"anguish","miedo","angustia"
"anguish","negativo","angustia"
"anguish","tristeza","angustia"
"animate","positivo","animar"
"animated","alegria","animado"
"animated","positivo","animado"
"animosity","enfado","animosidad"
"animosity","desagrado","animosidad"
"animosity","miedo","animosidad"
"animosity","negativo","animosidad"
"animosity","tristeza","animosidad"
"animus","enfado","ánimo"
"animus","negativo","ánimo"
"annihilate","enfado","aniquilar"
"annihilate","miedo","aniquilar"
"annihilate","negativo","aniquilar"
"annihilated","enfado","aniquilado"
"annihilated","miedo","aniquilado"
"annihilated","negativo","aniquilado"
"annihilated","tristeza","aniquilado"
"annihilation","enfado","aniquilación"
"annihilation","miedo","aniquilación"
"annihilation","negativo","aniquilación"
"annihilation","tristeza","aniquilación"
"announcement","anticipacion","anuncio"
"annoy","enfado","molestar"
"annoy","desagrado","molestar"
"annoy","negativo","molestar"
"annoyance","enfado","molestia"
"annoyance","desagrado","molestia"
"annoyance","negativo","molestia"
"annoying","enfado","molesto"
"annoying","negativo","molesto"
"annul","negativo","anular"
"annulment","negativo","anulación"
"annulment","tristeza","anulación"
"anomaly","miedo","anomalía"
"anomaly","negativo","anomalía"
"anomaly","sorpresa","anomalía"
"anonymous","negativo","anónimo"
"answerable","confianza","responsable"
"antagonism","enfado","antagonismo"
"antagonism","negativo","antagonismo"
"antagonist","enfado","antagonista"
"antagonist","negativo","antagonista"
"antagonistic","enfado","antagonista"
"antagonistic","desagrado","antagonista"
"antagonistic","negativo","antagonista"
"anthrax","desagrado","ántrax"
"anthrax","miedo","ántrax"
"anthrax","negativo","ántrax"
"anthrax","tristeza","ántrax"
"antibiotics","positivo","antibióticos"
"antichrist","enfado","antecristo"
"antichrist","desagrado","antecristo"
"antichrist","miedo","antecristo"
"antichrist","negativo","antecristo"
"anticipacion","anticipacion","anticipación"
"anticipatory","anticipacion","anticipado"
"antidote","anticipacion","antídoto"
"antidote","positivo","antídoto"
"antidote","confianza","antídoto"
"antifungal","positivo","antifúngico"
"antifungal","confianza","antifúngico"
"antipathy","enfado","antipatía"
"antipathy","desagrado","antipatía"
"antipathy","negativo","antipatía"
"antiquated","negativo","anticuado"
"antique","positivo","antiguo"
"antiseptic","positivo","antiséptico"
"antiseptic","confianza","antiséptico"
"antisocial","enfado","antisocial"
"antisocial","desagrado","antisocial"
"antisocial","miedo","antisocial"
"antisocial","negativo","antisocial"
"antisocial","tristeza","antisocial"
"antithesis","enfado","antítesis"
"antithesis","negativo","antítesis"
"anxiety","enfado","ansiedad"
"anxiety","anticipacion","ansiedad"
"anxiety","miedo","ansiedad"
"anxiety","negativo","ansiedad"
"anxiety","tristeza","ansiedad"
"anxious","anticipacion","ansioso"
"anxious","miedo","ansioso"
"anxious","negativo","ansioso"
"apache","miedo","apache"
"apache","negativo","apache"
"apathetic","negativo","apático"
"apathetic","tristeza","apático"
"apathy","negativo","apatía"
"apathy","tristeza","apatía"
"aphid","desagrado","áfido"
"aphid","negativo","áfido"
"aplomb","positivo","aplomo"
"apologetic","positivo","apologético"
"apologetic","confianza","apologético"
"apologize","positivo","pedir disculpas"
"apologize","tristeza","pedir disculpas"
"apologize","confianza","pedir disculpas"
"apology","positivo","disculpa"
"apostle","positivo","apóstol"
"apostle","confianza","apóstol"
"apostolic","confianza","apostólico"
"appalling","desagrado","pésimo"
"appalling","miedo","pésimo"
"appalling","negativo","pésimo"
"apparition","miedo","aparición"
"apparition","sorpresa","aparición"
"appeal","anticipacion","apelación"
"appendicitis","miedo","apendicitis"
"appendicitis","negativo","apendicitis"
"appendicitis","tristeza","apendicitis"
"applause","alegria","aplausos"
"applause","positivo","aplausos"
"applause","sorpresa","aplausos"
"applause","confianza","aplausos"
"applicant","anticipacion","solicitante"
"appreciation","alegria","apreciación"
"appreciation","positivo","apreciación"
"appreciation","confianza","apreciación"
"apprehend","miedo","aprehender"
"apprehension","miedo","detención"
"apprehension","negativo","detención"
"apprehensive","anticipacion","aprensivo"
"apprehensive","miedo","aprensivo"
"apprehensive","negativo","aprensivo"
"apprentice","confianza","aprendiz"
"approaching","anticipacion","que se acerca"
"approbation","positivo","aprobación"
"approbation","confianza","aprobación"
"appropriation","negativo","apropiación"
"approval","positivo","aprobación"
"approve","alegria","aprobar"
"approve","positivo","aprobar"
"approve","confianza","aprobar"
"approving","positivo","aprobatorio"
"apt","positivo","apto"
"aptitude","positivo","aptitud"
"arbiter","confianza","árbitro"
"arbitration","anticipacion","arbitraje"
"arbitrator","confianza","árbitro"
"archaeology","anticipacion","arqueología"
"archaeology","positivo","arqueología"
"archaic","negativo","arcaico"
"architecture","confianza","arquitectura"
"ardent","anticipacion","ardiente"
"ardent","alegria","ardiente"
"ardent","positivo","ardiente"
"ardor","positivo","ardor"
"arduous","negativo","arduo"
"argue","enfado","discutir"
"argue","negativo","discutir"
"argument","enfado","argumento"
"argument","negativo","argumento"
"argumentation","enfado","argumentación"
"argumentative","negativo","discutidor"
"arguments","enfado","argumentos"
"arid","negativo","árido"
"arid","tristeza","árido"
"aristocracy","positivo","aristocracia"
"aristocratic","positivo","aristocrático"
"armament","enfado","armamento"
"armament","miedo","armamento"
"armaments","miedo","armamento"
"armaments","negativo","armamento"
"armed","enfado","armado"
"armed","miedo","armado"
"armed","negativo","armado"
"armed","positivo","armado"
"armor","miedo","armadura"
"armor","positivo","armadura"
"armor","confianza","armadura"
"armored","miedo","blindado"
"armory","confianza","arsenal"
"aroma","positivo","aroma"
"arouse","anticipacion","despertar"
"arouse","positivo","despertar"
"arraignment","enfado","acusación"
"arraignment","miedo","acusación"
"arraignment","negativo","acusación"
"arraignment","tristeza","acusación"
"array","positivo","formación"
"arrears","negativo","atrasos"
"arrest","negativo","arrestar"
"arrival","anticipacion","llegada"
"arrive","anticipacion","llegar"
"arrogance","negativo","arrogancia"
"arrogant","enfado","arrogante"
"arrogant","desagrado","arrogante"
"arrogant","negativo","arrogante"
"arsenic","desagrado","arsénico"
"arsenic","miedo","arsénico"
"arsenic","negativo","arsénico"
"arsenic","tristeza","arsénico"
"arson","enfado","incendio provocado"
"arson","miedo","incendio provocado"
"arson","negativo","incendio provocado"
"art","anticipacion","Arte"
"art","alegria","Arte"
"art","positivo","Arte"
"art","tristeza","Arte"
"art","sorpresa","Arte"
"articulate","positivo","articular"
"articulation","positivo","articulación"
"artillery","miedo","artillería"
"artillery","negativo","artillería"
"artisan","positivo","artesano"
"artiste","positivo","artista"
"artistic","positivo","artístico"
"ascendancy","positivo","ascendencia"
"ascent","positivo","ascenso"
"ash","negativo","ceniza"
"ashamed","desagrado","avergonzado"
"ashamed","negativo","avergonzado"
"ashamed","tristeza","avergonzado"
"ashes","negativo","despojos mortales"
"ashes","tristeza","despojos mortales"
"asp","miedo","áspid"
"aspiration","anticipacion","aspiración"
"aspiration","alegria","aspiración"
"aspiration","positivo","aspiración"
"aspiration","sorpresa","aspiración"
"aspiration","confianza","aspiración"
"aspire","anticipacion","aspirar"
"aspire","alegria","aspirar"
"aspire","positivo","aspirar"
"aspiring","anticipacion","ambicioso"
"aspiring","alegria","ambicioso"
"aspiring","positivo","ambicioso"
"aspiring","confianza","ambicioso"
"ass","negativo","culo"
"assail","enfado","atacar"
"assail","miedo","atacar"
"assail","negativo","atacar"
"assail","sorpresa","atacar"
"assailant","enfado","agresor"
"assailant","miedo","agresor"
"assailant","negativo","agresor"
"assailant","tristeza","agresor"
"assassin","enfado","asesino"
"assassin","miedo","asesino"
"assassin","negativo","asesino"
"assassin","tristeza","asesino"
"assassinate","enfado","asesinar"
"assassinate","miedo","asesinar"
"assassinate","negativo","asesinar"
"assassination","enfado","asesinato"
"assassination","miedo","asesinato"
"assassination","negativo","asesinato"
"assassination","tristeza","asesinato"
"assault","enfado","asalto"
"assault","miedo","asalto"
"assault","negativo","asalto"
"assembly","positivo","montaje"
"assembly","confianza","montaje"
"assent","positivo","asentir"
"asserting","positivo","afirmando"
"asserting","confianza","afirmando"
"assessment","sorpresa","evaluación"
"assessment","confianza","evaluación"
"assessor","confianza","asesor"
"assets","positivo","bienes"
"asshole","enfado","Estúpido"
"asshole","desagrado","Estúpido"
"asshole","negativo","Estúpido"
"assignee","confianza","cesionario"
"assist","positivo","ayudar"
"assist","confianza","ayudar"
"assistance","positivo","asistencia"
"associate","positivo","asociar"
"associate","confianza","asociar"
"association","confianza","asociación"
"assuage","positivo","calmar"
"assurance","positivo","garantía"
"assurance","confianza","garantía"
"assure","confianza","asegurar"
"assured","positivo","seguro"
"assured","confianza","seguro"
"assuredly","confianza","ciertamente"
"astonishingly","positivo","asombrosamente"
"astonishingly","sorpresa","asombrosamente"
"astonishment","alegria","asombro"
"astonishment","positivo","asombro"
"astonishment","sorpresa","asombro"
"astray","miedo","por mal camino"
"astray","negativo","por mal camino"
"astringent","negativo","astringente"
"astrologer","anticipacion","astrólogo"
"astrologer","positivo","astrólogo"
"astronaut","positivo","astronauta"
"astronomer","anticipacion","astrónomo"
"astronomer","positivo","astrónomo"
"astute","positivo","astuto"
"asylum","miedo","asilo"
"asylum","negativo","asilo"
"asymmetry","desagrado","asimetría"
"atheism","negativo","ateísmo"
"atherosclerosis","miedo","aterosclerosis"
"atherosclerosis","negativo","aterosclerosis"
"atherosclerosis","tristeza","aterosclerosis"
"athlete","positivo","atleta"
"athletic","positivo","atlético"
"atom","positivo","átomo"
"atone","anticipacion","expiar"
"atone","alegria","expiar"
"atone","positivo","expiar"
"atone","confianza","expiar"
"atonement","positivo","expiación"
"atrocious","enfado","atroz"
"atrocious","desagrado","atroz"
"atrocious","negativo","atroz"
"atrocity","enfado","atrocidad"
"atrocity","desagrado","atrocidad"
"atrocity","miedo","atrocidad"
"atrocity","negativo","atrocidad"
"atrocity","tristeza","atrocidad"
"atrophy","desagrado","atrofia"
"atrophy","miedo","atrofia"
"atrophy","negativo","atrofia"
"atrophy","tristeza","atrofia"
"attachment","positivo","adjunto archivo"
"attack","enfado","ataque"
"attack","miedo","ataque"
"attack","negativo","ataque"
"attacking","enfado","agresor"
"attacking","desagrado","agresor"
"attacking","miedo","agresor"
"attacking","negativo","agresor"
"attacking","tristeza","agresor"
"attacking","sorpresa","agresor"
"attainable","anticipacion","alcanzable"
"attainable","positivo","alcanzable"
"attainment","positivo","logro"
"attempt","anticipacion","intento"
"attendance","anticipacion","asistencia"
"attendant","positivo","asistente"
"attendant","confianza","asistente"
"attention","positivo","atención"
"attentive","positivo","atento"
"attentive","confianza","atento"
"attenuated","negativo","atenuado"
"attenuation","negativo","atenuación"
"attenuation","tristeza","atenuación"
"attest","positivo","dar fe"
"attest","confianza","dar fe"
"attestation","confianza","atestación"
"attorney","enfado","abogado"
"attorney","miedo","abogado"
"attorney","positivo","abogado"
"attorney","confianza","abogado"
"attraction","positivo","atracción"
"attractiveness","positivo","atractivo"
"auction","anticipacion","subasta"
"audacity","negativo","audacia"
"audience","anticipacion","audiencia"
"auditor","miedo","auditor"
"auditor","confianza","auditor"
"augment","positivo","aumentar"
"august","positivo","agosto"
"aunt","positivo","tía"
"aunt","confianza","tía"
"aura","positivo","aura"
"auspicious","anticipacion","propicio"
"auspicious","alegria","propicio"
"auspicious","positivo","propicio"
"austere","miedo","austero"
"austere","negativo","austero"
"austere","tristeza","austero"
"austerity","negativo","austeridad"
"authentic","alegria","auténtico"
"authentic","positivo","auténtico"
"authentic","confianza","auténtico"
"authenticate","confianza","autenticar"
"authentication","confianza","autenticación"
"authenticity","positivo","autenticidad"
"authenticity","confianza","autenticidad"
"author","positivo","autor"
"author","confianza","autor"
"authoritative","positivo","autoritario"
"authoritative","confianza","autoritario"
"authority","positivo","autoridad"
"authority","confianza","autoridad"
"authorization","positivo","autorización"
"authorization","confianza","autorización"
"authorize","confianza","autorizar"
"authorized","positivo","autorizado"
"autocratic","negativo","autocrático"
"automatic","confianza","automático"
"autopsy","desagrado","autopsia"
"autopsy","miedo","autopsia"
"autopsy","negativo","autopsia"
"autopsy","tristeza","autopsia"
"avalanche","miedo","avalancha"
"avalanche","negativo","avalancha"
